title,rating,acidity_structure,aftertaste,aroma,body,flavor,with_milk,agtron,blind_assessment,bottom_line,coffee_origin,est_price,notes,review_date,roast_level,roaster,roaster_location,url
Costa Rica William Mora,94.0,9.0,8.0,9.0,9.0,9.0,,65/84,"Sweetly tart, richly fruit-toned. Raspberry, Meyer lemon zest, dark chocolate, cedar, pink peppercorn in aroma and cup. Tart-leaning structure with juicy acidity; very full, satiny-smooth mouthfeel. The finish centers around dark chocolate and raspberry.","A focused, intensely fruit-forward Costa Rica natural driven by berry and dark chocolate notes.","Tarrazu growing region, Costa Rica",$28.00/12 ounces,"Produced by William Morra entirely of the Caturra variety of Arabica, and processed by the natural method (dried in the whole fruit). Based in Phoenix, Arizona, Press Coffee roasts in small batches to ensure the highest quality and consistency, while sharing their knowledge and passion for coffee with customers. Visit www.presscoffee.com for more information.",January 2023,Light,Press Coffee ,"Phoenix, Arizona",https://www.coffeereview.com/review/costa-rica-william-mora/
Philippines Sitio Kisbong #3011 Experimental Wine Yeast,92.0,8.0,8.0,8.0,9.0,9.0,,59/76,"Delicately fruit-forward. Goji berry, lime, cocoa powder, fresh-cut fir, agave syrup in aroma and cup. Sweet-toned structure with gently acidity; very full, syrupy mouthfeel. Sweet, aromatic wood-framed finish supported by notes of cocoa powder and lime.","A gently fruity, experimentally processed Philippines coffee with crisp cocoa, dark berry and bright citrus notes.","Atok Benguet, northern Philippines",$17.50/6 ounces,"Produced by Kalsada Coffee from trees of the Typica, Bourbon and Garnica varieties of Arabica, and processed by the natural method (dried in the whole fruit), with the addition of cultured wine yeasts. Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.",January 2023,Medium-Light,Mostra Coffee,"San Diego, California",https://www.coffeereview.com/review/philippines-sitio-kisbong-3011-experimental-wine-yeast/
Colombia Finca La Guaca Ají,94.0,9.0,8.0,9.0,9.0,9.0,,62/80,"Elegant, delicate, rich-toned. Mango, cocoa nib, marjoram, lavender, cane sugar in aroma and cup. Sweetly tart structure with bright, juicy acidity; very full, syrupy mouthfeel. The pretty finish leads with lavender and cocoa nib.",A focused but lush cup from trees of a rare indigenous Ethiopian landrace variety grown in Colombia called Aji — tropical-leaning with a cocoa backbone. ,"Pitalito Municipality, Huila Department, Colombia",$19.50/6 ounces,"Produced by José Hernán Salazar Benavides and Marina Elina Ansasoy of Finca La Guaca entirely of the Ají (an Ethiopian landrace) variety of Arabica, and processed by the washed method. Founded in 1995 by Brooke McDonnell and Helen Russell, Equator Coffees operates retail stores in the San Francisco Bay Area and southern California and provides coffee to hundreds of wholesale accounts. Visit www.equatorcoffees.com or call 800-809-7687 for more information.",June 2022,Light,Equator Coffees,"San Rafael, California",https://www.coffeereview.com/review/colombia-finca-la-guaca-aji/
Nicaragua Selva Negra,93.0,8.0,8.0,9.0,9.0,9.0,,58/76,"Deeply fruity, richly chocolaty. Grape candy, chocolate fudge, magnolia, walnut butter, agave syrup in aroma and cup. Crisply sweet-taert structure with brisk acidity; plush, syrupy mouthfeel. Quietly fruit-toned, chocolaty finish.",A resonant Nicaragua natural cup with a throughline of grape candy and chocolate fudge.,"Matagalpa, Nicaragua",$18.00/12 ounces,"Produced at Selva Negra Farm and processed by the natural method (dried in the whole fruit). Peach Coffee Roasters is an Atlanta, Georgia-based specialty roaster. Visit peachcoffeeroasters.com for more information.",May 2022,Medium-Light,Peach Coffee Roasters,"St. Johns, Georgia",https://www.coffeereview.com/review/nicaragua-selva-negra-3/
Brazil Red Catuaí Double-Anaerobic,93.0,9.0,8.0,9.0,8.0,9.0,,56/72,"Sweetly and deeply bright. Dried cherry, dark chocolate, magnolia, cedar, marjoram in aroma and cup. Sweetly savory structure with delicate, deep-toned acidity; silky-smooth mouthfeel. Simple, clean finish, chocolaty and sweet.","A quietly confident anaerobic natural Brazil cup, chocolaty, deep, floral, fruit-toned.","Minas Gerais State, Brazil",NT $340/8 ounces,"Comprised entirely of the Red Catuaí variety of Arabica and processed by the anaerobic natural method (fermentation of the whole fruit occurs in a hermetically sealed, oxygen-free vessel before the fruit is dried). Spix’s Cafe is a Taipei-based coffee roaster specializing exclusively in coffees from Brazil. Visit https://www.facebook.com/SpixsCafeEspecialTaiwan/ for more information.",May 2022,Medium-Light,Spix's Cafe,"Taipei, Taiwan",https://www.coffeereview.com/review/brazil-red-catuai-double-anaerobic/
Ethiopia Guji Uraga Tebe Burku Natural,94.0,9.0,8.0,9.0,9.0,9.0,,58/74,"Deeply sweet, fruit-toned, lively. Black cherry, dark chocolate, marshmallow, macadamia nut, pink grapefruit zest in aroma and cup. Sweet structure with bright, juicy acidity; full, creamy-smooth mouthfeel. The cleanly fruit-toned finish is supported by notes of macadamia nut and dark chocolate.
","An integrated, cleanly natural-processed Ethiopia cup, fruit-driven, with an especially rich, creamy mouthfeel.
","Guji Zone, Oromia Region, Southern Ethiopia",NT $350/227 grams,"Produced in the Guji growing region, nestled next to Ethiopia's better-known Yirgacheffe and Sidamo regions, largely from distinctive indigenous landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Cozy House Coffee is a Taiwan-based specialty coffee roaster and an SCA Authorized Trainer (AST). For more information, visit https://shop.cozyhousecoffee.com.

",April 2022,Medium-Light,Cozy House Coffee,"Taipei City, Taiwan",https://www.coffeereview.com/review/ethiopia-guji-uraga-tebe-burku-natural/
Nyakibanda Rwanda,93.0,9.0,8.0,9.0,8.0,9.0,,57/74,"Bright, balanced, citrusy. Tangerine, almond butter, apple blossom, baking chocolate, cedar in aroma and cup. Sweet-toned structure with high-toned acidity; delicate, satiny mouthfeel. The nut- and citrus-toned finish is supported by crisp baking chocolate.","An engaging, confident Rwanda cup: crisply chocolaty, delicately floral, citrus-driven.","Nyakibanda, Huye, Rwanda",$18.00/12 ounces,"Produced by smallholding farmers near the Nyakibanda Washing Station entirely of the Red Bourbon variety of Arabica, and processed by a traditional variation on the washed method (fruit skin and flesh are removed from the beans before they are dried). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",April 2022,Medium-Light,JBC Coffee Roasters,"Madison, Wisconsin",https://www.coffeereview.com/review/nyakibanda-rwanda/
Kenya Auction Lot,92.0,8.0,7.0,9.0,9.0,9.0,,38/50,"Crisply sweet-savory. Dark chocolate, charred mesquite, gardenia, dried persimmon, dark caramel in aroma and cup. Bittersweet structure with barely perceptible acidity; gently drying, chocolaty and wood-framed finish.","A fine Kenya roasted in Peet’s classic dark style, which here encourages surprising depth while retaining the crisp coherence of the classic Kenya profile.",Kenya,$17.95/16 ounces,"This coffee was purchased from a Peet’s Coffee retail location as a nationally branded benchmark comparison for the darker-roasted coffees from smaller roasters reviewed this month. It is a conventionally washed-process coffee in the Kenya tradition. Peet’s Coffee, now a national chain, was founded by Alfred Peet in 1966, making it one of the first and most influential artisan coffee roasters in the U.S. Visit www.peets.com for more information.",April 2022,Medium-Dark,Peet's Coffee,"Berkeley, California",https://www.coffeereview.com/review/kenya-auction-lot/
Honduras Blue Hole Estate,93.0,8.0,8.0,9.0,9.0,9.0,,58/76,"Deeply sweet, fruit-forward. Raspberry coulis, cocoa nib, freesia-like flowers, cedar, caramelized walnut in aroma and cup. Sweetly tart structure with delicate acidity; very full, satiny-smooth mouthfeel. The finish leads with notes of caramelized walnut and cocoa nib with undertones of freesia.","Spicy florals, crisply sweet nut tones, and distinct berry notes dominate in this inviting natural-processed Honduras cup.",Honduras,NT $400/8 ounces,"Produced at Blue Hole Estate entirely of the Catuaí variety of Arabica, and processed by the natural method (dried in the whole fruit). David's Nose is a specialty coffee roaster based in Taipei, Taiwan whose founder studied agronomy and has a deep interest in crop quality. For more information, visit www.dnose.com.tw.",March 2022,Medium-Light,David's Nose,"Taipei, Taiwan",https://www.coffeereview.com/review/honduras-blue-hole-estate/
Ka’u IPA Natural,95.0,9.0,9.0,9.0,9.0,9.0,,58/78,"Complex, high-toned, resiny. Malt, amber, pomelo, baking chocolate, date in aroma and cup. Brightly bittersweet structure with juicy acidity; plush, satiny mouthfeel. Perfumed finish with leading notes of amber and pomelo.","An experimentally processed Red Catuai grown on Hawai’i Island and processed with beer yeast, promoting a uniquely brisk and complex cup.","Ka’u growing region, Big Island of Hawai’i",$25.00/4 ounces,"Grown by Miranda Farms, entirely of the Red Catuai variety of Arabica, and processed by Miguel Meza by a proprietary method that utilizes a yeast strain associated with the style of beer known as Indian Pale Ale or IPA during fermentation. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",February 2022,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/kau-ipa-natural/
Gayo Mandheling Specialty Coffee,93.0,8.0,8.0,9.0,9.0,9.0,,54/72,"Rich, deep, sweetly earth-toned. Pipe tobacco, baking chocolate, date, pistachio, jasmine in aroma and cup. Sweet structure with pert acidity; full, creamy mouthfeel. Pipe tobacco and cashew complicate the chocolaty finish.","A rich, crisply chocolaty Sumatra cup laced with sweet-spicy flowers.","Aceh Province, Sumatra, Indonesia",NT $370/225 grams,"Produced by smallholding farmers and processed by the Indonesia washed and wet-hulled method. Satur Specialty Coffee is a farm-to-cup roastery, coffee shop, and SCA training center. Visit www.satur.com.tw for more information.",February 2022,Medium-Light,Satur Specialty Coffee,"Tainan City, Taiwan",https://www.coffeereview.com/review/gayo-mandheling-specialty-coffee/
New Wave Blend,93.0,9.0,8.0,9.0,8.0,9.0,,57/77,"Delicate, resonant, crisply sweet. Bing cherry, hazelnut, baking chocolate, brown sugar, magnolia in aroma and cup. Sweet, gently tart structure with crisp, lively acidity; smooth, velvety mouthfeel. The quiet but long finish centers around notes of baking chocolate, cherry and brown sugar.","A compelling blend of coffees from Colombia (washed) and Ethiopia (natural) that nets a crisply chocolaty, fruit-forward cup.",Colombia; Ethiopia,$17.00/12 ounces,"A blend comprised of two coffees, a washed Colombia and natural Ethiopia. Succulent Coffee Roasters is a southern California specialty roaster and coffee shop founded in 2019. Visit www.succulentcoffeeroasters.com for more information.",February 2022,Medium-Light,Succulent Coffee Roasters,"Newport Beach, California",https://www.coffeereview.com/review/new-wave-blend/
Ethiopia Yirgacheffe Worka Sakaro,95.0,9.0,9.0,9.0,9.0,9.0,,57/79,"Bright, juicy, citrusy. Star Jasmine, tangerine zest, cocoa nib, almond, hint of spearmint in aroma and cup. Sweet-tart structure with nimble acidity; very smooth, satiny mouthfeel. Floral-toned finish supported by notes of tangerine zest and almond.","A bright, citrus-driven cup with ballast from notes of cocoa nib and sweet mint and nut impulses.","Gedeb District, Gedeo Zone, southern Ethiopia",$25.00/12 ounces,"Southern Ethiopia coffees like this one are largely produced from traditional Ethiopian landrace varieties of Arabica long grown in the region. Processed by the washed method. Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",December 2021,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/ethiopia-yirgacheffe-worka-sakaro/
Hacienda La Esmeralda Montañas 71AS,96.0,9.0,9.0,9.0,9.0,10.0,,59/77,"Complex, uniquely composed, tropical. Ginger blossom, cocoa nib, lychee, sandalwood, wild honey in aroma and cup. Sweetly tart structure with bright, juicy acidity; syrupy-smooth mouthfeel. The finish carries through on the promise of the cup, with rich fruit notes in the short and deep florals in the long.","A levitatingly aromatic coffee that evokes the tropics: delicate, complex, rich, harmonious.","Boquete growing region, western Panama",£100/150-gram packet,"Geisha (also Gesha) continues to be one of the world’s most celebrated and sought-after coffee varieties, and Hacienda La Esmeralda Geishas like this one remain among the most authentic. This version is from the same lot that took eighth place in the 2021 Best of Panama Washed Geisha competition. It was processed by the wet method with the ferment conducted under anaerobic (reduced oxygen) conditions with a special yeast innoculation. Difference Coffee aims to present only the finest of the world’s coffees as determined by green coffee competitions and other measures of distinction. For more information visit www.differencecoffee.com.",December 2021,Medium-Light,Difference Coffee,"London, England",https://www.coffeereview.com/review/hacienda-la-esmeralda-montanas-71as/
Ethiopia Bedessa,92.0,9.0,7.0,9.0,8.0,9.0,,60/76,"Delicately sweet-tart. Cocoa nib, green plum, hazelnut, lavender, fresh-cut fir in aroma and cup. Crisply sweet structure with bright, citrusy acidity; velvety
mouthfeel. Gently drying finish with notes of hazelnut and fresh-cut fir.",An easygoing light-roasted natural-processed Ethiopia with especially lively acidity.,"Guji Zone, southern Ethiopia",$25.00/12 ounces,Southern Ethiopia coffees like this one are produced from traditional Ethiopian varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.,November 2021,Medium-Light,Jaunt Coffee Roasters,"San Diego, California",https://www.coffeereview.com/review/ethiopia-bedessa/
Ninety Plus Panama Gesha Estate MS Joseph Brodsky 2307,95.0,9.0,9.0,9.0,9.0,9.0,,58/82,"Elegantly fruit-toned, juicy-sweet. Passion fruit, mango, sandalwood, rhododendron, cocoa nib in aroma and cup. Confidently sweet-tart structure with balanced acidity; plush, medium-bodied mouthfeel. Resonant, long, harmonious finish.","A distinctively composed Panama Gesha cup that expresses balance and finesse, as well as restrained power with its fruit and floral dance.","Chiriqui Province, far western Panama",$280.00/70 grams; $200.00/50 grams,"Produced by Joseph Brodsky of Ninety Plus Estates entirely of the Gesha variety of Arabica, and processed by a proprietary method the producer refers to as “Jose Alfred’s Innovation.” Plat Coffee is a specialty roaster and café in Hong Kong. For more information, visit www.platcoffee.com.",November 2021,Medium-Light,Plat Coffee Roastery,"Hong Kong, China",https://www.coffeereview.com/review/ninety-plus-panama-gesha-estate-ms-joseph-brodsky-2307/
Colombia Huila Finca Monteblanco Rodrigo Sanchez,94.0,9.0,8.0,9.0,9.0,9.0,,58/78,"Deep-toned, integrated. Bosc pear, almond butter, dark chocolate, myrrh, maple syrup in aroma and cup. Sweet structure with gently bright acidity; plush,
syrupy mouthfeel. The finish consolidates to notes of pear, almond, and dark chocolate.",Chocolate and crisp fruit lead in this classic washed Colombia cup from the rare Colombia Pink Bourbon variety.,"Palestina, Huila, Colombia",,"Produced by Rodrigo Sanchez of Finca Monteblanco entirely of the Pink Bourbon variety of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Plat Coffee is a specialty roaster and café in Hong Kong. For more information, visit www.platcoffee.com.",November 2021,Medium-Light,Plat Coffee Roastery,"Hong Kong, China",https://www.coffeereview.com/review/colombia-huila-finca-monteblanco-rodrigo-sanchez/
Philippines Sitio Belis,93.0,9.0,8.0,9.0,8.0,9.0,,60/78,"Delicately tropical. Lychee, ginger blossom, cocoa nib, amber, agave syrup in aroma and cup. Sweet, lively structure with juicy acidity; crisp, silky mouthfeel.
Cocoa-toned finish, supported by notes of amber and agave.","An intriguing washed anaerobic cup from the Philippines, reflecting a growing specialty coffee trend in that country. Complex, juicy, tropical.","Benguet, Philippines",$20.00/6 ounces,"Produced by Kalsada Coffee, from trees of the Typica and Bourbon varieties of Arabica, and processed by the anaerobic washed method (fermentation occurs in a hermetically sealed vessel). Paradise Roasters specializes in micro-lot Arabica and Robusta coffees from Asia and other emerging origins. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.",November 2021,Medium-Light,Paradise Roasters,"Minneapolis, Minnesota",https://www.coffeereview.com/review/philippines-sitio-belis/
Panama La Viuda Natural Geisha 4 Hermanos,94.0,9.0,8.0,9.0,9.0,9.0,,60/84,"Crisply sweet, fruit-forward, spice-toned. Peach, star jasmine, cocoa nib, myrrh, maple syrup in aroma and cup. Sweetly tart structure with juicy, vibrant acidity;
buoyant, silky-smooth mouthfeel. The resonant finish centered around nectarine and cocoa nib, with resiny myrrh-like undertones.","A subtly nuanced coffee centered around notes of stone fruit, cocoa nib, and resinous aromatic wood with a levitatingly silky mouthfeel.","Jurutungo, Renacimiento, Panama","NT $1,000/4 ounces","Produced at La Viuda Farm entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee.  Visit www.kakalovecafe.com.tw or email [email protected] for more information.",December 2021,Light,Kakalove Cafe,"Chiya-Yi, Taiwan",https://www.coffeereview.com/review/panama-la-viuda-natural-geisha-4-hermanos/
Panama El Burro Estate Natural Gesha,95.0,9.0,9.0,9.0,9.0,9.0,,58/77,"Delicate, deeply sweet, complexly layered. Passion fruit, wild honey, lilac, macadamia nut, tangerine zest in aroma and cup. Balanced, sweet-tart structure with juicy acidity; crisp, satiny-smooth mouthfeel. The richly cocoa-toned finish is alive with tropical fruit and rich aromatic wood notes.","A vibrant natural-processed Geisha that leads with tropical fruit and sweet-spicy floral notes layered with wild honey and creamy macadamia nut and earthy
undertones.","Potrerillo Arriba, Boquete, Panama","NT $1,400/4 ounces","El Burro Estate is an award-winning coffee farm owned by the Lamastus family in Panama’s famous Boquete growing region. With its bold, boat-shaped beans and distinctive floral and crisply cacao-toned cup, the Gesha (also Geisha) variety of Arabica continues to produce some of the world’s most unique coffees. This is a natural-processed version (dried in the whole fruit). Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",December 2021,Medium-Light,Kakalove Cafe,"Chiya-Yi, Taiwan",https://www.coffeereview.com/review/panama-el-burro-estate-natural-gesha/
Panama Finca Mi Finquita Geisha Afrodita Natural,96.0,9.0,9.0,9.0,9.0,10.0,,59/81,"High-toned, elegantly floral, intricately balanced. Concord grape, frankincense, aromatic orchid, candy cap mushroom, cocoa nib in aroma and cup. Deeply
sweet-savory structure with bright, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish goes on and on.",A distinctively composed fruit- and flower-bomb with an umami undercurrent.,"Tierras Altas, Chiriquí Province, Panama",NT $1250/4 ounces,"Produced at Finca Mi Finquita, Panama, entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.",December 2021,Medium-Light,Kakalove Cafe,"Chiya-Yi, Taiwan",https://www.coffeereview.com/review/panama-finca-mi-finquita-geisha-afrodita-natural/
Panama Abu Geisha Lot 6,95.0,9.0,9.0,9.0,9.0,9.0,,58/80,"Deeply aromatic, complex. Dried mulberry, dark chocolate, almond butter, lilac, pink grapefruit zest in aroma and cup. Sweet-tart structure with bright, lively
acidity; satiny-smooth mouthfeel. Chocolaty and floral-toned finish with undertones of almond and pink grapefruit zest.","A deep, inviting natural-processed Panama Geisha cup with rich chocolate and dried berry notes and a floral throughline.","Cañas Verdes, Boquete growing region, Panama",$75.00/12 ounces,"Produced by Josel Luttrell of Abu Coffee Plantations entirely of the Geisha variety of Arabica, and processed by the natural method (dried in the whole fruit). Willoughby’s Coffee &amp; Tea is a pioneer specialty coffee roaster established in the early 1980s that has gracefully and successfully moved with the times and now offers a menu of extremely refined small-lot, single-origin coffees. Visit www.willoughbyscoffee.com or call 800-388-8400 for more information.",December 2021,Medium-Light,Willoughby's Coffee & Tea,Branford Connecticut,https://www.coffeereview.com/review/panama-abu-geisha-lot-6/
Ethiopia Washed Sidama Bensa Bombe,94.0,9.0,8.0,9.0,9.0,9.0,,60/82,"Delicately sweet-tart, rich-toned. Dried apricot, dark chocolate, cashew butter, plumeria, pink grapefruit zest in aroma and cup. Sweet structure with tart, juicy
acidity; full, syrupy-smooth mouthfeel. The chocolaty finish centers around notes of plumeria and pink grapefruit zest.","A multi-layered floral-toned Ethiopia cup redolent with stone fruit, dark chocolate and a hint of sweet citrus zest.","Sidama Region, Ethiopia",NT $375/8 ounces,Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopia landrace varieties of Arabica long grown in the region. Processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Kakalove Cafe is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.,December 2021,Light,Kakalove Cafe,"Chiya-Yi, Taiwan",https://www.coffeereview.com/review/ethiopia-washed-sidama-bensa-bombe/
Sweet Holiday Blend,94.0,9.0,8.0,9.0,9.0,9.0,,58/76,"Deeply sweet, richly fruit-forward. Dark chocolate, tangerine zest, candied hazelnut, fresh-cut fir, cinnamon in aroma and cup. Crisply sweet structure with
winy acidity; plush, satiny-smooth mouthfeel. Finish consolidates around notes of dark chocolate and tangerine zest.","This sweet-toned holiday blend nails the winter theme with notes of dark chocolate, sweet citrus and baking spices.",Colombia; Guatemala; Costa Rica; Ethiopia,$20.99/12 ounces,"A blend of washed and natural-processed coffees from Colombia, Guatemala, Costa Rica and Ethiopia. Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",December 2021,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia",https://www.coffeereview.com/review/sweet-holiday-blend-3/
Ethiopia Demeka Becha,96.0,9.0,9.0,9.0,9.0,10.0,,60/78,"Richly sweet, delicately tart, very complex. Bergamot, star jasmine, pluot, cocoa nib, marjoram in aroma and cup. Brightly sweet structure with juicy acidity;
crisp, syrupy mouthfeel. Resonant, long, lingering finish.","An elegant, balanced, classic washed Ethiopia cup that encourages meditation on its paradoxes: both juicy and deep, spicy and sweet, complex and inviting.","Bona Zuria, Sidama Region, Ethiopia",$21.99/12 ounces,"Produced by smallholding farmers around the Demeka Becha washing station from trees of heirloom varieties of Arabica, and processed by the washed method (fruit skin and flesh are removed from the beans before they are dried). Established in 2010, Red Rooster is an organic-certified micro-roaster focusing on socially conscious, high-quality coffee. Visit redroostercoffee.com or call 540-745-7338 for more information.",December 2021,Medium-Light,Red Rooster Coffee Roaster,"Floyd, Virginia",https://www.coffeereview.com/review/ethiopia-demeka-becha-2/
Costa Rica Volcan Azul San Isidro Red Honey,95.0,9.0,9.0,9.0,9.0,9.0,,58/76,"Brightly sweet-tart; juicy and complex. Goji berry, dark chocolate, nutmeg, dark caramel, gardenia in aroma and cup. Sweetly tart structure with winy acidity;
very full, creamy mouthfeel. Long, lingering fruit-forward finish with deep chocolate undertones.","A rich-toned, multi-layered red honey from Costa Rica: bright, deep, juicy, high-toned.","Poás Volcano region, Alajuela Province, Costa Rica",$22.00/12 ounces,"Produced By Alejo Khale Castroat of Volcan Azul entirely from trees of the San Isidro (Sarchimor) variety of Arabica, and processed by the red honey method, in which the skins are removed from the fruit but the fruit flesh is allowed to dry on the beans. Roasted at PT’s Coffee, where the motto is “without the love, it’s just coffee.” Visit www.ptscoffee.com or call 888-678-JAVA for more information.",December 2021,Medium-Light,PT’s Coffee Roasting Co.,"Topeka, Kansas",https://www.coffeereview.com/review/costa-rica-volcan-azul-san-isidro-red-honey/
Natural Ka’u Maragogipe,94.0,8.0,9.0,9.0,9.0,9.0,,62/78,"Richly sweet-savory. Caramel, guava, rose hips, hop flowers, pink peppercorn in aroma and cup. Balanced, bittersweet structure with sweetly brisk acidity; plush, syrupy mouthfeel. Spice-toned finish consolidates to notes of pink peppercorn and caramel.","A delicately complex Ka’u cup comprised of three big-beaned varieties of Arabica, mainly the rare Maragogipe — rich-toned, sweetly savory with tropical fruit notes.","Ka’u growing region, Big Island of Hawai’i",$19.00/4 ounces,"Produced in Ka’u from trees of the big-beaned Maragogipe (also spelled Maragogype), Pacamara and Maracaturra varieties of Arabica and processed by the natural method (dried in the whole fruit). Big Island Coffee is an award-winning coffee roaster operated with hands-on passion by Kelleigh Stewart and Brandon von Damitz. Visit www.bigislandcoffeeroasters.com for more information.",December 2021,Medium-Light,Big Island Coffee Roasters,"Mountain View, Hawai’i",https://www.coffeereview.com/review/natural-kau-maragogipe/
Panama Hacienda La Esmeralda Gesha,94.0,9.0,8.0,9.0,9.0,9.0,,64/84,"High-toned, balanced, richly sweet-tart. Dried apricot, star jasmine, cocoa nib, caramel, star anise in aroma and cup. Sweetly tart structure with juicy, engaging
acidity; very syrupy mouthfeel. The cocoa-toned finish is supported by notes of star jasmine and apricot.","A pretty washed Panama Gesha cup evokes tropical flowers and ripe stone fruit, with lyrically bright, balanced acidity.","Boquete growing region, western Panama",$50.00/6 ounces,"Coffee from trees of the botanical variety Geisha (also Gesha) grown on Price Peterson’s Hacienda La Esmeralda in Panama first introduced this extraordinary variety of Arabica to the world. This is a wet-processed or “washed” version, meaning the fruit skin and pulp were removed from the beans immediately after harvesting but before drying. Founded in 2013, modcup coffee focuses on fresh roasting and distinctive natural-processed coffees. Visit modcup.com for more information.

 ",December 2021,Light,modcup coffee,"Jersey City, New Jersey",https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-gesha-3/
Ethiopia Bench Maji Natural Gesha,94.0,9.0,8.0,9.0,9.0,9.0,,62/80,"Rich, intensely sweet, floral-toned. Lilac, tangerine, cocoa nib, apricot, myrrh in aroma and cup. Lively, sweet-tart structure with bright acidity; plush, syrupy-smooth mouthfeel. The resonant finish centers around juicy citrus and lilac tones, grounded by cocoa nib.","A complex, multi-layered natural-processed Gesha from Ethiopia: juicy, floral, cocoa-toned, balanced.","Bench-Maji Zone, Southern Ethiopia",NT $550/8 ounces,"Produced from trees of the rare Ethiopia-derived botanical variety Gesha (also Geisha) by Adam and Rachel Overton. Although the Gesha variety originated in Ethiopia, it was “discovered” by the coffee world in 2004 growing in Boquete, Panama, and Panama continues to dominate the expanding world of Gesha. This particular version, however, is the outcome of efforts to commercialize Gesha in the region from which it originally came.  Processed by the natural method (dried in the whole fruit). VERYTIME is a specialty nano-roaster based in Taoyuan, Taiwan. Visit www.verytime.com.tw/ for more information. 

 ",December 2021,Light,VERYTIME,"Taoyuan, Taiwan",https://www.coffeereview.com/review/ethiopia-bench-maji-natural-gesha/
Subrosa Ethiopia Kayon Mountain Organic Natural,93.0,8.0,8.0,9.0,9.0,9.0,,58/76,"Gently sweet-tart, cocoa-toned. Cocoa nib, orange, narcissus, mango, cedar in aroma and cup. Intricately sweet, bright, with brisk acidity; full, syrupy mouthfeel. The quietly sweet finish consolidates to cocoa-toned mango and cedar.","A natural-processed Ethiopia cup driven by tropical fruit and floral tones, with a throughline of cocoa nib.","Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia",$12.00/8 ounces,"Produced by Ato Esmael and his friends and family at their estate farm in the Guji Zone of southern Ethiopia. Certified organic and produced from distinctive, largely indigenous landrace varieties of Arabica long grown in the region. Processed by the dry or “natural” method, meaning the beans were dried inside the fruit rather than after the fruit has been removed, as is the case with wet-processed or “washed” coffees. Available at any States Coffee café location in the San Francisco East Bay area. States Coffee, established in 2015, is a small-batch roastery and bakery that offers coffee, bread and baked goods. For more information on locations and hours visit www.statescoffee.com.",December 2021,Medium-Light,States Coffee,"Martinez, California",https://www.coffeereview.com/review/subrosa-ethiopia-kayon-mountain-organic-natural/
